name,url,img_url,price
Debby,https://www.glassesshop.com/eyeglasses/fz1767,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Libra,https://www.glassesshop.com/eyeglasses/fp2047,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Hedy,https://www.glassesshop.com/eyeglasses/fz1608,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Richfield,https://www.glassesshop.com/eyeglasses/rm0307,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Yves,https://www.glassesshop.com/eyeglasses/st0273,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$55.95
Endicott,https://www.glassesshop.com/eyeglasses/fz1392,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Cooksville,https://www.glassesshop.com/eyeglasses/fp2010,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95
Taurus,https://www.glassesshop.com/eyeglasses/fp2071,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Hannah,https://www.glassesshop.com/eyeglasses/fp2514,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Lydia,https://www.glassesshop.com/eyeglasses/fp2434,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Haywood,https://www.glassesshop.com/eyeglasses/fm1354,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Gulfport,https://www.glassesshop.com/eyeglasses/fp2106,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Celia,https://www.glassesshop.com/eyeglasses/fm1387,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Bronx,https://www.glassesshop.com/eyeglasses/fp1979,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95
Joplin,https://www.glassesshop.com/eyeglasses/fz1491,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Bruno,https://www.glassesshop.com/eyeglasses/fp1506,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Asheville,https://www.glassesshop.com/eyeglasses/fp1991,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95
Burke,https://www.glassesshop.com/eyeglasses/fm1244,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Poppy,https://www.glassesshop.com/eyeglasses/fz1032,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Leigh,https://www.glassesshop.com/eyeglasses/fz1368,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$2.99
Memphis,https://www.glassesshop.com/eyeglasses/fz1740,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Derrick,https://www.glassesshop.com/eyeglasses/fp1661,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Oberlin,https://www.glassesshop.com/eyeglasses/fp2033,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Milne,https://www.glassesshop.com/eyeglasses/fz1358,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Lyndon,https://www.glassesshop.com/eyeglasses/fm1286,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Denise,https://www.glassesshop.com/eyeglasses/fp2298,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.94
Murphy,https://www.glassesshop.com/eyeglasses/fp1747,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$39.95
Annabel,https://www.glassesshop.com/eyeglasses/ft0304,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$39.95
Dinah,https://www.glassesshop.com/eyeglasses/fp2445,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Water,https://www.glassesshop.com/eyeglasses/fp2468,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Whittier,https://www.glassesshop.com/eyeglasses/fz1313,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Evanston,https://www.glassesshop.com/eyeglasses/sup0791,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Miami,https://www.glassesshop.com/eyeglasses/fz1391,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Pete,https://www.glassesshop.com/eyeglasses/fz1208,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Prairie,https://www.glassesshop.com/eyeglasses/fz1461,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$34.95
Baltimore,https://www.glassesshop.com/eyeglasses/fp2109,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$0.99
Pasadena,https://www.glassesshop.com/eyeglasses/fp2522,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.48
Fresno,https://www.glassesshop.com/eyeglasses/fp2036,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95
Prince,https://www.glassesshop.com/eyeglasses/fp1438,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Althea,https://www.glassesshop.com/eyeglasses/fp2111,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95
Kitty,https://www.glassesshop.com/eyeglasses/fz1658,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Modesto,https://www.glassesshop.com/eyeglasses/fm1654,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95
Walnut,https://www.glassesshop.com/eyeglasses/sup0821,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95
Bray,https://www.glassesshop.com/eyeglasses/fp1923,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95
Genevieve,https://www.glassesshop.com/eyeglasses/fz1268,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$34.95
